customer_id,name,gender,age,city,signup_date
1,김수민,F,19,광주,2024-08-21
2,김정호,F,32,대구,2026-01-04
3,이경수,F,61,성남,2024-08-14
4,조영호,F,55,울산,2026-06-15
5,이예원,F,19,부산,2024-11-15
6,김지원,F,32,성남,2026-08-29
7,이상현,F,53,인천,2025-02-13
8,이성호,M,32,수원,2025-02-25
9,송지민,M,69,서울,2025-12-21
10,유도현,F,62,울산,2024-12-08
11,강채원,M,35,대구,2026-02-22
12,김정남,F,66,대전,2024-12-02
13,고채원,F,23,울산,2025-04-22
14,윤성호,F,40,대전,2025-04-07
15,장정식,M,69,서울,2026-08-06
16,강보람,M,52,부산,2024-09-24
17,이현준,M,23,성남,2026-05-31
18,김순옥,M,58,고양,2023-12-05
19,김성수,M,54,인천,2024-10-29
20,백영호,F,20,인천,2025-01-10
21,박중수,M,23,인천,2026-06-04
22,이상호,F,42,광주,2026-01-29
23,신영자,M,58,대전,2026-03-04
24,김현준,F,41,대전,2025-11-09
25,권준호,F,60,광주,2024-05-04
26,안영자,F,56,대구,2023-12-17
27,최영수,F,28,수원,2024-10-04
28,고경숙,M,35,성남,2024-03-05
29,박수민,F,61,대전,2026-06-01
30,이민재,F,32,서울,2023-09-15
31,양수민,M,43,광주,2025-10-26
32,박미숙,F,31,고양,2026-05-08
33,윤우진,M,31,수원,2024-05-04
34,김진호,M,59,수원,2025-12-11
35,최예지,F,34,대구,2024-03-01
36,양지현,F,65,성남,2024-12-30
37,김영호,M,65,고양,2024-01-10
38,박도윤,M,55,울산,2025-12-15
39,김예은,M,32,대구,2026-01-11
40,박예준,M,23,서울,2024-08-04
41,권정순,F,27,대구,2025-01-06
42,장성호,M,56,부산,2025-11-22
43,김도윤,M,42,고양,2023-10-12
44,김서윤,M,51,광주,2023-12-29
45,김명자,F,61,부산,2023-10-28
46,김서현,M,67,대전,2026-07-15
47,박정웅,F,36,울산,2026-02-13
48,김예은,F,47,서울,2025-06-03
49,김시우,M,50,대구,2025-06-29
50,문도윤,F,58,광주,2026-06-21
51,김영순,F,27,대전,2025-02-18
52,김서연,F,52,성남,2025-12-21
53,이서준,F,56,대전,2024-10-02
54,김지원,M,19,부산,2026-01-11
55,윤영철,M,69,광주,2023-10-02
56,남지혜,F,21,인천,2024-05-25
57,박준호,F,23,수원,2023-12-10
58,김성훈,F,66,성남,2025-08-16
59,한정웅,F,26,수원,2026-01-20
60,박서연,F,34,성남,2024-08-13
61,최유진,M,31,성남,2025-01-09
62,최영일,F,63,광주,2025-12-13
63,성도현,M,60,대전,2024-06-24
64,김준호,M,51,수원,2025-05-29
65,손상호,F,33,인천,2026-03-21
66,김재호,F,39,서울,2026-02-04
67,심서영,F,55,인천,2025-01-10
68,이정남,F,22,서울,2024-12-19
69,남진우,F,22,서울,2023-09-24
70,엄현준,M,22,성남,2024-01-01
71,박미정,F,35,수원,2025-03-05
72,양영미,F,52,대구,2024-05-12
73,정성민,M,33,수원,2026-06-21
74,장윤서,M,30,부산,2026-07-06
75,양상훈,F,60,울산,2024-02-23
76,김수빈,M,45,울산,2024-08-02
77,김은주,M,64,서울,2024-10-24
78,김하은,F,21,울산,2023-11-27
79,이서준,M,69,부산,2023-09-15
80,김현우,F,30,인천,2024-05-18
81,최영자,M,26,울산,2023-09-25
82,노정수,F,35,수원,2024-04-28
83,전은경,F,22,수원,2024-04-27
84,김성호,F,21,성남,2023-11-10
85,김선영,F,23,인천,2024-02-16
86,최준호,F,44,수원,2026-05-01
87,유서현,M,31,울산,2024-05-19
88,송춘자,F,28,울산,2023-10-18
89,유종수,F,42,광주,2025-06-10
90,문지원,M,36,울산,2024-10-28
91,한성훈,M,27,인천,2023-11-09
92,김지은,M,31,서울,2025-08-25
93,류준호,F,65,대전,2024-08-21
94,김성진,F,21,고양,2023-12-26
95,이은주,M,50,성남,2025-05-22
96,홍순옥,F,21,성남,2023-10-22
97,주민준,F,29,부산,2024-10-26
98,최성현,F,61,인천,2025-01-09
99,나민석,M,25,고양,2026-02-21
100,김시우,F,55,고양,2025-11-25
101,박정희,F,57,부산,2026-07-17
102,이진호,M,60,고양,2025-02-03
103,장미정,M,34,인천,2024-12-19
104,장순옥,M,33,광주,2026-08-28
105,김승현,M,26,광주,2025-04-20
106,배은정,M,38,부산,2024-12-20
107,전성수,F,47,고양,2024-08-01
108,최재호,F,22,성남,2025-09-01
109,장영일,F,50,광주,2024-05-30
110,이정숙,F,40,부산,2026-04-28
111,류정훈,F,41,광주,2026-07-21
112,송민재,F,46,성남,2023-11-20
113,박준혁,M,57,성남,2024-01-01
114,손영환,F,60,성남,2026-08-26
115,이민재,M,60,부산,2026-08-13
116,권종수,F,34,부산,2024-02-22
117,김지원,F,65,성남,2026-08-26
118,김선영,F,35,광주,2024-03-16
119,송정남,F,63,대전,2026-01-25
120,하춘자,F,61,광주,2026-04-18
121,손영자,M,34,서울,2026-01-08
122,김준호,F,58,울산,2025-08-09
123,김재현,M,20,서울,2025-11-27
124,김시우,M,67,대구,2024-11-26
125,이지후,M,28,수원,2024-01-13
126,김정수,M,53,서울,2024-08-07
127,이영철,F,22,대구,2025-06-16
128,전성훈,F,41,고양,2026-03-05
129,김춘자,F,45,대구,2026-02-20
130,김성현,F,37,대전,2025-05-07
131,곽영자,F,40,인천,2026-01-05
132,배예지,F,60,부산,2024-11-06
133,김성진,M,67,성남,2026-07-31
134,오지현,M,57,대구,2024-03-26
